,id_bat,nb_maisons,geometry
0,E000270,1.0,POINT (531436.65242955 259655.5070145115)
1,E000010,1.0,POINT (531445.6628026704 259480.5041201503)
2,E000060,1.0,POINT (531529.6575195842 259588.50594791403)
3,E000200,1.0,POINT (531217.64198611 259637.50437344395)
4,E000249,1.0,POINT (531369.6487738496 259611.5054945395)
5,E000085,1.0,POINT (531311.6596285771 259469.50563187932)
6,E000112,1.0,POINT (531238.651625287 259514.50356972497)
7,E000204,1.0,POINT (531247.648000662 259643.50762080465)
8,E000053,1.0,POINT (531373.6562804552 259514.49755635584)
9,E000063,1.0,POINT (531485.653365691 259626.50203741906)
10,E000023,1.0,POINT (531435.6626708077 259422.50006760476)
11,E000140,1.0,POINT (531269.6519975577 259563.50340843888)
12,E000103,1.0,POINT (531394.6693239377 259382.50487903005)
13,E000149,1.0,POINT (531273.6437231889 259700.51047118538)
14,E000073,1.0,POINT (531418.6527003692 259569.5009177334)
15,E000214,1.0,POINT (531391.6476602776 259655.5041893751)
16,E000226,1.0,POINT (531302.6727072415 259376.8165390406)
17,E000381,1.0,POINT (531175.6331702287 259821.50526568393)
18,E000148,1.0,POINT (531285.6401333461 259692.50362495088)
19,E000314,1.0,POINT (531459.6490127636 259649.50630527118)
20,E000283,1.0,POINT (531220.6394805966 259721.50964845374)
21,E000380,1.0,POINT (531189.6348773588 259793.5074673182)
22,E000320,1.0,POINT (531263.637107697 259773.50943256746)
23,E000007,1.0,POINT (531422.6639181357 259484.50159096468)
24,E000031,1.0,POINT (531344.6559062628 259510.5012444278)
25,E000347,1.0,POINT (531116.6319534723 259814.5124039749)
26,E000043,1.0,POINT (531437.6567356078 259562.5038545574)
27,E000244,1.0,POINT (531403.649991208 259629.5017031611)
28,E000344,1.0,POINT (531246.6386506134 259742.50923063816)
29,E000357,1.0,POINT (531159.6361454781 259708.5091378885)
30,E000207,1.0,POINT (531214.6453732853 259602.50134339253)
31,E000181,1.0,POINT (531238.6476086671 259613.49839292577)
32,E000119,1.0,POINT (531293.645215175 259612.50698660937)
33,E000097,1.0,POINT (531315.6554654439 259522.49788426165)
34,E000052,1.0,POINT (531360.6607548638 259439.49775115872)
35,E000108,1.0,POINT (531298.6581805573 259461.50415587786)
36,E000066,1.0,POINT (531519.6535441291 259635.50655719504)
37,E000366,1.0,POINT (531165.6365908164 259691.5066450219)
38,E000020,1.0,POINT (531392.6634602016 259436.49552182056)
39,E000027,1.0,POINT (531335.6619943214 259447.50480251835)
40,E000328,1.0,POINT (531246.6385596433 259782.50787076878)
41,E000230,1.0,POINT (531209.6444689231 259637.50403691898)
42,E000262,1.0,POINT (531164.6370293531 259752.50199448265)
43,E000012,1.0,POINT (531406.665499368 259414.49695434357)
44,E000129,1.0,POINT (531269.6569579676 259424.49883550027)
45,E000013,1.0,POINT (531412.6630700242 259409.50314778142)
46,E000032,1.0,POINT (531327.6554217795 259510.50693084928)
47,E000312,1.0,POINT (531457.6495052659 259653.5043200042)
48,E000236,1.0,POINT (531271.6442505594 259631.50045611692)
49,E000169,1.0,POINT (531248.6522813849 259554.49998486083)
50,E000099,1.0,POINT (531246.6537897622 259503.49721192534)
51,E000225,1.0,POINT (531330.6617970505 259394.49704425898)
52,E000212,1.0,POINT (531205.6495812536 259562.4982219197)
53,E000247,1.0,POINT (531364.648775901 259599.5091049504)
54,E000156,1.0,POINT (531360.650613011 259583.4993494643)
55,E000348,1.0,POINT (531113.628954389 259819.50788050104)
56,E000378,1.0,POINT (531181.6300324736 259816.51118794363)
57,E000337,1.0,POINT (531264.6359690004 259758.51136183238)
58,E000351,1.0,POINT (531156.633564547 259800.50213945785)
59,E000068,1.0,POINT (531463.6566812388 259584.506230221)
60,E000297,1.0,POINT (531429.6501315874 259635.51111563633)
61,E000059,1.0,POINT (531556.6631307768 259577.50374273345)
62,E000333,1.0,POINT (531229.6323263785 259806.50843331113)
63,E000054,1.0,POINT (531367.654349141 259514.50536667538)
64,E000196,1.0,POINT (531329.6597123197 259422.50515111448)
65,E000376,1.0,POINT (531225.6318859885 259812.51245097263)
66,E000369,1.0,POINT (531176.6286537097 259850.5122614074)
67,E000290,1.0,POINT (531170.6407456646 259660.49941447988)
68,E000075,1.0,POINT (531421.6554272308 259588.50036335213)
69,E000233,1.0,POINT (531252.6499099027 259617.50856869726)
70,E000006,1.0,POINT (531488.663585603 259519.5069053099)
71,E000272,1.0,POINT (531418.650776197 259667.50545041845)
72,E000069,1.0,POINT (531457.6547548904 259575.49919569434)
73,E000373,1.0,POINT (531206.6310223329 259829.5044545135)
74,E000219,1.0,POINT (531393.6512480327 259606.49939281348)
75,E000034,1.0,POINT (531337.6586278945 259472.49845329009)
76,E000323,1.0,POINT (531111.6306246229 259824.5076868721)
77,E000364,1.0,POINT (531206.6367995192 259804.50824436365)
78,E000239,1.0,POINT (531415.653724183 259638.5009153412)
79,E000080,1.0,POINT (531445.6524039672 259593.49960005074)
80,E000082,1.0,POINT (531272.655025207 259485.49993546942)
81,E000113,1.0,POINT (531226.6483302461 259530.50118022744)
82,E000153,1.0,POINT (531345.6489835398 259660.50586426427)
83,E000051,1.0,POINT (531359.6596135955 259427.4960977467)
84,E000265,1.0,POINT (531196.6404973381 259713.50652527472)
85,E000141,1.0,POINT (531263.6496189567 259562.4985657718)
86,E000122,1.0,POINT (531305.645517457 259641.5051577824)
87,E000360,1.0,POINT (531164.6287270531 259861.5130324908)
88,E000361,1.0,POINT (531168.6315213761 259858.5139370602)
89,E000183,1.0,POINT (531316.6436056704 259698.5114796204)
90,E000285,1.0,POINT (531227.6407931072 259691.50134282664)
91,E000076,1.0,POINT (531425.655580057 259598.500409263)
92,E000370,1.0,POINT (531262.6614835325 259333.4986185832)
93,E000374,1.0,POINT (531202.6339021781 259831.51316540205)
94,E000100,1.0,POINT (531254.6515862979 259495.49565521063)
95,E000287,1.0,POINT (531222.6388653902 259693.5056878719)
96,E000355,1.0,POINT (531172.635306345 259777.50976923644)
97,E000039,1.0,POINT (531519.6554991716 259586.50427560904)
98,E000274,1.0,POINT (531398.6559371288 259541.5034856365)
99,E000168,1.0,POINT (531245.6487643772 259551.5045555731)
100,E000248,1.0,POINT (531367.6495827915 259607.50159077486)
101,E000152,1.0,POINT (531334.6460994778 259671.51042779244)
102,E000245,1.0,POINT (531401.6489843571 259623.50559214194)
